Rigshospitalet Glostrup;;;;;Nordre Ringvej 57;;;;;;;
Source No_;Item No_;ItemDescription;UnitOfMeasure;Quantity;Amount;NettoWeight;TotalWeight;Ecology;Oprindelse;;Pris pr enhed;Pris i alt
3586;Ø24MH;Forkogte kartofler til mos a 3 kg, øko, ps;PS;61;3843;3000;183000;1;DK;; 63,00 kr. ; 3.843,00 kr. 
3586;Ø251H;Kogte jævne kartofler a 1 kg, øko, ps;PS;7872;170712;1000;7872000;1;DK;; 21,69 kr. ; 170.712,00 kr. 
3586;Ø26,1H;Kogte kartofler i tern a 3 kg, øko, ps;PS;173;10899;3000;519000;1;DK;; 63,00 kr. ; 10.899,00 kr. 
3586;Ø26H;Kogte kartofler i skiver a 3 kg, øko, ps;PS;88;5544;3000;264000;1;DK;; 63,00 kr. ; 5.544,00 kr. 
3586;Ø80053H;Skræl risole kartofler a 3 kg, øko, ps;PS;31;1953;3000;93000;1;DK;; 63,00 kr. ; 1.953,00 kr. 
3586;Ø80073H;Skrællede store kartofler a 3 kg, øko, ps;PS;1635;103437;3000;4905000;1;DK;; 63,26 kr. ; 103.437,00 kr. 
3586;Ø85313H;Kartoffeltern12x12 mm a 3 kg, øko, ps;PS;63;4035;3000;189000;1;DK;; 64,05 kr. ; 4.035,00 kr. 
;;;;;;;;;;;;
;;;;;;;;;;;;
Rigshospitalet Centralkøkken;;;;;Blegdamsvej 9;;;;;;;
Source No_;Item No_;ItemDescription;UnitOfMeasure;Quantity;Amount;NettoWeight;TotalWeight;Ecology;;;;
3592;Ø24SH;Forkogt special kartoffel a 3 kg, øko, ps;PS;4;252;3000;12000;1;DK;; 63,00 kr. ; 252,00 kr. 
3592;Ø26,1H;Kogte kartofler i tern a 3 kg, øko, ps;PS;20;1260;3000;60000;1;DK;; 63,00 kr. ; 1.260,00 kr. 
3592;Ø26H;Kogte kartofler i skiver a 3 kg, øko, ps;PS;20;1260;3000;60000;1;DK;; 63,00 kr. ; 1.260,00 kr. 
3592;Ø80053H;Skræl risole kartofler a 3 kg, øko, ps;PS;29;1827;3000;87000;1;DK;; 63,00 kr. ; 1.827,00 kr. 
3592;Ø85313H;Kartoffeltern12x12 mm a 3 kg, øko, ps;PS;28;1764;3000;84000;1;DK;; 63,00 kr. ; 1.764,00 kr. 
;;;;;;;;;;;;
;;;;;;;;;;;;
Rigshospitalet Kantinen ME-EAT;;;;;Blegdamsvej 9;;;;;;;
Source No_;Item No_;ItemDescription;UnitOfMeasure;Quantity;Amount;NettoWeight;TotalWeight;Ecology;;;;
3593;Ø26,1H;Kogte kartofler i tern a 3 kg, øko, ps;PS;65;4095;3000;195000;1;DK;; 63,00 kr. ; 4.095,00 kr. 
3593;Ø26H;Kogte kartofler i skiver a 3 kg, øko, ps;PS;51;3213;3000;153000;1;DK;; 63,00 kr. ; 3.213,00 kr. 
3593;Ø80033H;Raspede risole kartofler a 3 kg, øko, ps;PS;26;1638;3000;78000;1;DK;; 63,00 kr. ; 1.638,00 kr. 
3593;Ø80053H;Skræl risole kartofler a 3 kg, øko, ps;PS;131;8253;3000;393000;1;DK;; 63,00 kr. ; 8.253,00 kr. 
3593;Ø80063H;Skrællede jævne kartofler a 3 kg, øko, ps;PS;158;9954;3000;474000;1;DK;; 63,00 kr. ; 9.954,00 kr. 
;;;;;;;;;;;;
;;;;;;;;;;;;
Bornholms Hospital;;;;;Ullasvej 8;;;;;;;
Source No_;Item No_;ItemDescription;UnitOfMeasure;Quantity;Amount;NettoWeight;TotalWeight;Ecology;;;;
3605;Ø24H;Forkogte risole kartofler a 3 kg, øko, ps;PS;220;13860;3000;660000;1;DK;; 63,00 kr. ; 13.860,00 kr. 
3605;Ø24MH;Forkogte kartofler til mos a 3 kg, øko, ps;PS;118;7434;3000;354000;1;DK;; 63,00 kr. ; 7.434,00 kr. 
3605;Ø24RH;Forkogt raspede kartoffel a 3 kg, øko, ps;PS;2;126;3000;6000;1;DK;; 63,00 kr. ; 126,00 kr. 
3605;Ø26,1H;Kogte kartofler i tern a 3 kg, øko, ps;PS;4;252;3000;12000;1;DK;; 63,00 kr. ; 252,00 kr. 
3605;Ø26H;Kogte kartofler i skiver a 3 kg, øko, ps;PS;25;1575;3000;75000;1;DK;; 63,00 kr. ; 1.575,00 kr. 
